
INV22-01-DR-d7f9-1666835303239,d7f9226db26c,3,PT. PEMUDA CARI CUAN,ASF,MANGKOKKU,56
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
H044M,,PCK,2886.0,952.38,0,0.0,0.0,0.0,0.0
H045M,,PCK,3552.0,3907.2,0,0.0,0.0,0.0,0.0

INV22-05-CH-209e-1665462074187,209efa5018c2,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
R428M,,PCE,22500.0,0.0,0,0.0,0.0,0.0,0.0

INV22-01-DR-209e-1665462074187,209efa5018c2,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A001M,,BTL,101312.73,11144.4,0,0.0,0.0,0.0,0.0

INV22-03-FR-209e-1665462074187,209efa5018c2,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A0012M,,PCS,20600.0,0.0,0,0.0,0.0,0.0,0.0

INV22-01-DR-209e-1665461752533,209efa5018c2,2,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
NS006,BOTOL EQUIL KECIL,PCE,999.0,219.78,1,900.0,999.0,900.0,9.0E-4
A004M111,BULLDOG TONKATSU SAUCE BOTTLE 6X1.8LTR,BTL,140768.18,61938.0,1,80978.8889,140768.18,72881.0,0.0044

INV22-01-DR-1fc2-1665456567120,1fc2d2d7d068,3,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A004M111,BULLDOG TONKATSU SAUCE BOTTLE 6X1.8LTR,BTL,140768.18,30969.0,1,80978.8889,0.0,72881.0,0.0044
A029M,BULLDOG WORCHESTERSHIRE BOTTLE 20X500ML,BTL,62462.73,13741.8,1,41637.408,0.0,37473.6672,9.0E-4
Y039,,CRATE,166500.0,36630.0,0,0.0,0.0,0.0,0.0

INV22-03-FR-5e75-1665456128216,5e75e9f14b37,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
XYZ40,,KG,29700.0,0.0,0,0.0,0.0,0.0,0.0

INV22-01-DR-5e75-1665456128216,5e75e9f14b37,5,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A025M,BULLDOG BULLPACK TONKATSU 30X300ML,BTL,42785.45,4706.4,1,26288.6822,0.0,23659.814,6.0E-4
A029M,BULLDOG WORCHESTERSHIRE BOTTLE 20X500ML,BTL,62462.73,6870.9,1,41637.408,0.0,37473.6672,9.0E-4
A204M,KIKKOMAN KECAP ASIN KHAS JEPANG 5L,CTN,218972.73,24087.0,1,182672.7293,0.0,155271.8199,0.006
NYG035,,PCE,5314.88,584.64,0,0.0,0.0,0.0,0.0
Y039,,CRATE,166500.0,18315.0,0,0.0,0.0,0.0,0.0

INV22-01-CH-5e75-1665456128216,5e75e9f14b37,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
B109M,,PCK,54591.82,6005.1,0,0.0,0.0,0.0,0.0

INV22-03-EE-5e75-1665456128216,5e75e9f14b37,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A18,,KG,210000.0,0.0,0,0.0,0.0,0.0,0.0

INV22-03-EE-5e75-1665394130870,5e75e9f14b37,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A18,,KG,210000.0,0.0,0,0.0,0.0,0.0,0.0

INV22-01-DR-5e75-1665394130870,5e75e9f14b37,2,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A204M,KIKKOMAN KECAP ASIN KHAS JEPANG 5L,CTN,218972.73,48174.0,1,182672.7293,0.0,155271.8199,0.006
NYG035,,PCE,5314.88,584.64,0,0.0,0.0,0.0,0.0

INV22-01-DR-e8cd-1665393264154,e8cd6c077f5c,5,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A025M,BULLDOG BULLPACK TONKATSU 30X300ML,BTL,42785.45,4706.4,1,26288.6822,0.0,23659.814,6.0E-4
A029M,BULLDOG WORCHESTERSHIRE BOTTLE 20X500ML,BTL,62462.73,6870.9,1,41637.408,0.0,37473.6672,9.0E-4
A204M,KIKKOMAN KECAP ASIN KHAS JEPANG 5L,CTN,218972.73,24087.0,1,182672.7293,0.0,155271.8199,0.006
NYG035,,PCE,5314.88,1753.91,0,0.0,0.0,0.0,0.0
Y039,,CRATE,166500.0,18315.0,0,0.0,0.0,0.0,0.0

INV22-01-AC-e8cd-1665393065006,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
F182M,,PCK,29748.0,13089.12,0,0.0,0.0,0.0,0.0

INV22-03-FR-e8cd-1665393065006,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
XYZ40,,KG,29700.0,0.0,0,0.0,0.0,0.0,0.0

INV22-03-CH-e8cd-1665393065006,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A18,,EKOR,210000.0,0.0,0,0.0,0.0,0.0,0.0

INV22-01-DR-e8cd-1665393065006,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
NYG035,,PCE,5314.88,2923.18,0,0.0,0.0,0.0,0.0

INV22-01-CH-e8cd-1665392585082,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
B109M,,PCK,54591.82,6005.1,0,0.0,0.0,0.0,0.0

INV22-01-DR-e8cd-1665392585082,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A025M,BULLDOG BULLPACK TONKATSU 30X300ML,BTL,42785.45,9412.8,1,26288.6822,42785.45,23659.814,6.0E-4

INV22-01-DR-8846-1665388847221,88460b6776b0,3,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
Y039,,CRATE,166500.0,91575.0,0,0.0,0.0,0.0,0.0
NS005,,CRATE,44400.0,24420.0,0,0.0,0.0,0.0,0.0
NS006,BOTOL EQUIL KECIL,PCE,999.0,10989.0,1,900.0,0.0,900.0,9.0E-4

INV22-01-DR-aabd-1665377159998,aabde7c622f1,3,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
Y039,,CRATE,166500.0,54945.0,0,0.0,0.0,0.0,0.0
NS005,,CRATE,44400.0,4884.0,0,0.0,0.0,0.0,0.0
NS006,BOTOL EQUIL KECIL,PCE,999.0,109.89,1,900.0,0.0,900.0,9.0E-4

INV22-01-CH-e8cd-1665041040380,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
B109M,,PCK,54591.82,54045.9,0,0.0,0.0,0.0,0.0

INV22-01-DR-e8cd-1665041040380,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A029M,BULLDOG WORCHESTERSHIRE BOTTLE 20X500ML,BTL,62462.73,6870.9,1,41637.408,62462.73,37473.6672,9.0E-4

INV22-01-DR-d7f9-1665040042107,d7f9226db26c,1,PT. PEMUDA CARI CUAN,ASF,MANGKOKKU,56
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A029M,BULLDOG WORCHESTERSHIRE BOTTLE 20X500ML,BTL,80000.0,8800.0,1,41637.408,80000.0,37473.6672,9.0E-4

INV22-01-DR-e8cd-1664594536482,e8cd6c077f5c,2,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A004M111,BULLDOG TONKATSU SAUCE BOTTLE 6X1.8LTR,BTL,140768.18,30969.0,1,80978.8889,140768.18,72881.0,0.0044
A026M111,BULLDOG TONKATSU SAUCE 20X500ML,BTL,62462.73,20612.7,1,33472.2222,62462.73,30125.0,9.0E-4

INV22-01-DR-e8cd-1664593775091,e8cd6c077f5c,2,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A025M,BULLDOG BULLPACK TONKATSU 30X300ML,BTL,42785.45,14119.2,1,26288.6822,42785.45,23659.814,6.0E-4
A004M111,BULLDOG TONKATSU SAUCE BOTTLE 6X1.8LTR,BTL,140768.18,46453.5,1,80978.8889,140768.18,72881.0,0.0044

INV22-01-DR-e8cd-1664520751430,e8cd6c077f5c,2,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
A025M,BULLDOG BULLPACK TONKATSU 30X300ML,BTL,42785.45,9412.8,1,26288.6822,42785.45,23659.814,6.0E-4
A004M111,BULLDOG TONKATSU SAUCE BOTTLE 6X1.8LTR,BTL,140768.18,30969.0,1,80978.8889,140768.18,72881.0,0.0044

INV22-01-CH-e8cd-1662610201187,e8cd6c077f5c,1,,,,
Kode barang,nama barang,satuan,hargaCloud,ppn,is_item_linked,harga_jual_min,harga_local,harga_pokok,meter_kubik
B109M,,PCK,49181.82,5410.0,0,0.0,0.0,0.0,0.0
